temp_c,swvl1,swvl2,solar_MJ,evap_mm,rain_mm,sp,soil_avg,rain_3d,soil_lag1,irrigate,evapotranspiration,humidity,solar_radiation,temperature,rainfall,wind_speed,rain_event,dryness_index,heat_stress,month,NDVI,NDWI
20.599143333333355,0.20010556083333333,0.2551667950694444,17.346842402777778,-6.229418372222222,0.20358599074,91845.8125,0.22763617795138885,0.9550340151404547,0.22812514790277774,1,3.15,70.76,19.91,18.95,0.0,2.48,0,3.15,0,1,0.203410428,-0.215491004
20.810098125000025,0.19897842349999997,0.25348398437499997,15.324610527777777,-5.435335597222222,0.7541228139905001,91776.9075,0.22623120393749996,1.209038877176841,0.22643391282638886,1,2.97,79.12,16.62,20.56,0.01,2.6,0,2.9600000000000004,0,1,0.20279939000000002,-0.21342221
21.6518121527778,0.19875505270833327,0.25224749243055555,13.868746166666666,-4.91897689375,2.2103171984685,91791.44791666666,0.2255012725694444,5.165037151430955,0.22569417959722216,0,3.04,75.6,13.77,20.8,0.21,2.24,0,2.83,0,1,0.20218835200000002,-0.211353416
20.8303759027778,0.19774945545138883,0.2505694496527777,16.796259444444445,-5.822471035416667,0.99573436241,91792.11930555556,0.2241594525520833,5.445941308887956,0.22462002416666663,1,2.87,73.1,20.71,19.36,0.01,2.25,0,2.8600000000000003,0,1,0.201577314,-0.209284622
20.842678888888912,0.19603326545138886,0.2484922410416666,18.805846236111112,-6.331379655555556,0.09686275998899997,91809.34138888889,0.22226275324652775,0.3409270057799547,0.22274006749999997,1,2.76,70.79,21.84,19.4,0.0,2.19,0,2.76,0,1,0.200966276,-0.207215828
20.598689513888914,0.19449869829166666,0.24649482333333328,18.884238916666668,-6.195966527777777,0.189354103825,91803.79625000001,0.22049676081249994,0.49309158755545474,0.22091351619444438,1,2.57,68.25,22.2,18.34,0.0,2.27,0,2.57,0,1,0.20035523800000002,-0.205147034
20.2180202777778,0.1929999461805555,0.24452304868055552,19.350067027777776,-6.669132266666667,0.07745173105,91745.31958333333,0.2187614974305555,0.3375559476004547,0.2191943599513888,1,2.42,63.19,22.68,18.62,0.0,2.51,0,2.42,0,1,0.1997442,-0.20307824
20.432137222222245,0.19174088370833328,0.24269591444444438,19.37674175,-6.853218129166667,0.0231585822,91677.14694444445,0.21721839907638887,0.08479568340045471,0.217562728375,1,2.16,68.34,21.73,19.98,0.0,2.75,0,2.16,0,1,0.20088831000000001,-0.205997592
21.768532638888914,0.19248464388888886,0.24146101215277777,15.463423347222223,-5.275610719444445,6.4142114994499995,91779.46875000001,0.21697282802083329,9.607929896550454,0.21674924431249998,0,1.82,77.03,15.29,21.06,0.0,2.35,0,1.82,0,1,0.20203242000000002,-0.208916944
22.30149958333336,0.19320869426388887,0.2403799695833333,15.390158930555558,-5.654307441666667,3.4795013002875,91767.18513888889,0.21679433192361108,19.962123244652954,0.21712340256249998,0,2.0,69.47,18.21,21.05,0.0,2.5,0,2.0,0,1,0.20317653,-0.21183629599999998
22.293820833333356,0.19185977520138886,0.23893716618055552,17.401432472222226,-6.943082821527778,0.0784000503,91720.69444444444,0.21539847069097218,0.33068541461045475,0.21575111826041662,1,1.77,62.72,19.25,21.18,0.0,2.98,0,1.77,0,2,0.20432064,-0.214755648
22.84529854166669,0.19062444918055552,0.23770915166666667,13.880135000000001,-7.559198919444444,0.11221025794999998,91775.06944444445,0.21416680042361108,0.2206180120254547,0.2144144906493055,1,1.2,68.09,14.71,21.04,0.0,2.88,0,1.2,0,2,0.20546475,-0.217675
21.765935277777803,0.19002077310416662,0.23698891548611112,11.280986638888889,-5.98455949375,0.3814615320985,91823.39125,0.21350484429513888,0.8028332289209548,0.2136120798611111,1,1.49,69.86,9.39,22.09,0.19,2.95,0,1.3,0,2,0.20660886,-0.220594352
22.753963541666693,0.18928082774305552,0.23585308895833332,16.116773527777777,-6.875962465972222,0.1641660939,91764.80555555555,0.2125669583506944,0.9849965634002273,0.21291918222916661,1,1.57,63.35,22.39,21.99,0.07,3.03,0,1.5,0,2,0.20775297,-0.22351370399999998
22.680621944444464,0.18810293457638882,0.2341808745833333,19.336685180555556,-7.526455324305555,0.0190819485,91731.81486111111,0.2111419045798611,0.026753065200227348,0.21150048582986108,1,1.62,62.21,23.0,22.14,0.0,2.08,0,1.62,0,2,0.20889707999999999,-0.226433056
22.51476055555558,0.18702803680555552,0.2325383293055555,19.770333694444446,-7.176296690972222,0.015326856,91767.92944444445,0.20978318305555552,0.0686412999004547,0.2101082272881944,1,1.35,63.21,21.68,21.31,0.0,1.85,0,1.35,0,2,0.21004119,-0.229352408
22.56001076388891,0.18611388729861106,0.23105833305555554,19.120223805555558,-6.066568361111111,0.03474801179999998,91750.77555555556,0.20858611017708328,0.0658482183004547,0.20887003993749997,1,1.05,61.93,22.55,21.3,0.0,0.92,0,1.05,0,2,0.2111853,-0.23227176
23.49048680555558,0.18531523826388885,0.2296069463194444,19.507313500000002,-6.486543192361111,0.0230669955,91752.65736111111,0.20746109229166662,0.10392217560045469,0.20773469113541662,1,1.12,62.56,21.72,22.11,0.0,2.12,0,1.12,0,2,0.206834786,-0.229646122
23.045624375000024,0.1846554018055555,0.22822358819444444,19.826168375,-7.172698756944444,0.0193778307,91831.01263888889,0.20643949499999997,0.042471648900341025,0.20668029753124997,1,0.98,62.96,22.72,21.7,0.0,2.22,0,0.98,0,2,0.202484272,-0.227020484
22.957695000000022,0.18407789857638884,0.22689437902777776,20.096230666666667,-7.591576895833333,0.026875724400000002,91911.89458333334,0.20548613880208327,0.0847823427004547,0.2057217493194444,1,0.95,61.28,22.58,21.81,0.0,2.27,0,0.95,0,2,0.198133758,-0.224394846
22.877388750000023,0.18352837061111107,0.2255808513194444,20.423550055555555,-7.642102190972222,0.02306699477999995,91950.10069444444,0.20455461096527774,0.06912051732034102,0.20478476430555553,1,0.91,53.37,21.87,22.14,0.0,2.29,0,0.91,0,2,0.193783244,-0.221769208
23.29476875000002,0.1830112664236111,0.22429773548611107,20.543678083333333,-7.89505587986111,0.007693884,91951.30194444445,0.2036545009548611,0.046175469120341026,0.2038724158298611,1,0.84,51.62,24.29,22.22,0.0,2.45,0,0.84,0,2,0.18943273,-0.21914357
23.266074097222244,0.18257183566666663,0.2230957878472222,20.571014944444443,-8.42047520138889,0.0,91953.86333333334,0.2028338117569444,0.0,0.20302714253124995,1,0.75,51.59,24.63,21.94,0.0,2.7,0,0.75,0,2,0.191051338,-0.219656462
22.655324861111136,0.18220202111805553,0.22197214777777774,20.78618609722222,-7.966267626388889,0.0039160242,91902.95722222223,0.20208708444791662,0.003916024200113675,0.20227077295486107,1,0.66,53.55,24.9,21.52,0.0,2.1,0,0.66,0,2,0.19266994599999998,-0.220169354
22.652178541666686,0.1818834944444444,0.22089905215277772,20.872329305555557,-7.899301875694444,0.03083267844,91793.33444444445,0.20139127329861106,0.0616526368204547,0.2015586958159722,1,0.62,53.13,24.98,21.57,0.0,2.14,0,0.62,0,2,0.194288554,-0.220682246
22.584412500000028,0.1816053389444444,0.21987872604166664,20.98890163888889,-8.567317403472222,0.0271151946,91807.75694444444,0.20074203249305556,0.12002303070034104,0.20089721675,1,0.53,55.6,24.23,21.67,0.0,2.82,0,0.53,0,2,0.195907162,-0.221195138
22.732350000000025,0.18135950349305552,0.2189277013194444,21.053436680555556,-8.367054089583334,0.0,91853.26388888888,0.20014360240624995,0.0,0.20029025607638884,1,0.47,57.91,24.78,21.55,0.0,2.6,0,0.47,0,2,0.19752577,-0.22170803
22.759298263888912,0.1811352836458333,0.2180407843055555,20.884838416666668,-7.650638641666666,0.0232066548,91872.99763888889,0.19958803397569444,0.02712267900022735,0.19972059492013886,1,0.44,58.37,24.86,21.69,0.0,2.2,0,0.44,0,2,0.185380616,-0.201234088
23.0462777777778,0.18092918388888882,0.21722814763888884,20.66329,-7.10998654513889,0.0270464589,91882.72222222222,0.19907866576388888,0.1082944287004547,0.19920126587152778,1,0.4,57.71,24.4,22.03,0.0,2.11,0,0.4,0,2,0.173235462,-0.180760146
23.00614222222224,0.18073389264583328,0.2164491014583333,20.728180819444447,-6.819828340277779,0.015625619099999974,91903.21305555556,0.1985914970520833,0.062219090700341026,0.19871383219097216,1,0.4,52.91,24.8,22.37,0.0,1.58,0,0.4,0,2,0.16109030800000002,-0.160286204
23.198166736111133,0.18054294572916663,0.21567620111111108,21.09180225,-7.495807974999999,0.023174279999999974,91933.07166666666,0.19810957342013888,0.0388383786004547,0.19822565684027776,1,0.34,53.8,24.89,22.52,0.0,2.06,0,0.34,0,2,0.148945154,-0.139812262
23.345329722222246,0.18038781488194439,0.21492968638888885,21.319187972222224,-8.066552606944445,0.0347132898,91868.10986111111,0.19765875063541663,0.1038344805004547,0.1977673635659722,1,0.29,52.78,24.13,22.29,0.0,2.83,0,0.29,0,2,0.1368,-0.11933832
22.61870569444447,0.18026553261805556,0.2142382722222222,21.703684402777778,-8.557128972222223,0.030805165619999974,91859.55902777777,0.19725190242013885,0.1041605001004547,0.19734997183680553,1,0.25,50.77,26.2,21.52,0.0,2.96,0,0.25,0,2,0.155673972,-0.147304296
22.528696319444467,0.18014134272916663,0.21358426465277777,21.909729083333332,-8.359661214583333,0.034744149,91945.17819444445,0.19686280369097217,0.0848477973604547,0.1969588599444444,1,0.23,43.37,26.48,21.79,0.0,2.53,0,0.23,0,2,0.174547944,-0.175270272
23.163335416666694,0.18003347152777774,0.21294901166666663,21.919867902777778,-8.754354174305554,0.0464043357,92089.77083333333,0.1964912415972222,0.1275720309004547,0.19658088676388885,1,0.2,40.17,26.53,22.68,0.0,2.89,0,0.2,0,2,0.193421916,-0.203236248
23.13653368055558,0.17992867379861108,0.21234819576388886,21.92272747222222,-9.539525197222222,0.0346578876,92172.98041666666,0.19613843478124993,0.1312307856004547,0.19622288814236105,1,0.16,47.75,25.4,22.35,0.0,3.24,0,0.16,0,2,0.212295888,-0.231202224
21.943753958333357,0.1798499424375,0.2118211314583333,22.032419069444448,-9.0124364375,0.0233352153,92171.32055555555,0.1958355369479166,0.06952284810034103,0.19590663898263885,1,0.12,44.79,26.37,21.45,0.0,3.21,0,0.12,0,2,0.23116986,-0.2591682
22.625793958333354,0.17981084223611105,0.21138615069444444,20.828363430555555,-8.249905431944445,0.10598873624999999,92135.58222222222,0.19559849646527774,0.15282009945034103,0.19564093454513884,1,0.1,56.84,24.17,23.06,0.0,2.99,0,0.1,0,2,0.22236904400000002,-0.25351278
23.73742562500002,0.17983500225694443,0.21103318562499998,19.46165775,-8.126606486805555,0.1644346628535,92142.56597222222,0.19543409394097216,0.6004599914684547,0.19548161873263886,1,0.09,53.96,22.23,23.21,0.0,3.25,0,0.09,0,3,0.213568228,-0.24785736
